date,tid,open,high,low,close,volume,mid,range,fac0,avg,s3,s7,s14,s21,s35,s49,s75,s100,s150,s200,s300,s400,s500,s600,s800,s1000,s1500,s2000,s3000,ma_close,ub,lb
2022-11-03/10:30:00,1,2990.5347,3002.1965,2990.2886,2995.307,3512899200,2996.24255,11.9079,235.465596,6.041001,1729.341303,1132.119632,800.5294687,653.6295741,506.2992911,427.901,345.8682606,299.5307,244.5657924,211.8001891,172.9341303,149.76535,133.9542013,122.2828962,105.9000946,94.71992411,77.33849419,66.97710065,54.68657369,2964.7125,184.790435,-203.027227
2022-11-03/10:00:00,1,2981.2038,3003.4655,2977.7162,2990.357,8131282200,2990.59085,25.7493,-236.540458,23.019287,1726.483419,1130.248708,799.2065256,652.5493956,505.4625883,427.1938571,345.2966838,299.0357,244.1616266,211.4501713,172.6483419,149.51785,133.7328306,122.0808133,105.7250856,94.56339137,77.21068573,66.86641529,54.59619946,2963.787989,189.460339,-203.027227
2022-11-02/15:00:00,1,3002.6802,3003.7001,2995.7294,3003.3699,3824088900,2999.71475,7.9707,-218.789537,125.643353,1733.99642,1135.167122,802.6843694,655.3890432,507.6621699,429.0528429,346.799284,300.33699,245.2241255,212.3703223,173.399642,150.168495,134.3147852,122.6120627,106.1851611,94.9748954,77.54667737,67.15739258,54.83378143,2962.811949,192.171077,-203.027227
2022-11-02/14:30:00,1,3017.2127,3017.8409,3001.1857,3002.256,3265213800,3009.5133,16.6552,-196.758694,266.010479,1733.35331,1134.746107,802.3866671,655.1459703,507.4738864,428.8937143,346.670662,300.2256,245.1331759,212.2915576,173.335331,150.1128,134.26497,122.566588,106.1457788,94.93967079,77.51791659,67.13248502,54.81344449,2961.545024,190.96363,-203.027227
2022-11-02/14:00:00,1,3006.3951,3019.0486,3004.3221,3017.5633,3224760700,3011.68535,14.7265,221.399664,348.297371,1742.190984,1140.531722,806.4777151,658.486297,510.0612924,431.0804714,348.4381967,301.75633,246.3830117,213.3739472,174.2190984,150.878165,134.9495333,123.1915059,106.6869736,95.42373012,77.91314938,67.47476665,55.09291627,2960.100254,186.127733,-203.027227
2022-11-02/13:30:00,1,2996.4135,3015.8122,2996.4135,3006.1617,3836209300,3006.11285,19.3987,265.464405,369.605308,1735.608267,1136.222323,803.4305093,655.9982639,508.1340702,429.4516714,347.1216533,300.61617,245.452075,212.5677323,173.5608267,150.308085,134.4396383,122.7260375,106.2838662,95.06317987,77.61876133,67.21981913,54.88475249,2958.724939,179.522638,-203.027227
2022-11-02/11:30:00,1,2988.4481,2995.8907,2983.1811,2995.2568,2567151500,2989.5359,12.7096,200.812012,332.473483,1729.31232,1132.100658,800.5160522,653.6186196,506.2908057,427.8938286,345.862464,299.52568,244.5616936,211.7966395,172.931232,149.76284,133.9519563,122.2808468,105.8983197,94.71833665,77.33719803,66.97597815,54.68565716,2957.719269,173.021459,-203.027227
2022-11-02/11:00:00,1,2980.9605,2989.5641,2977.1372,2988.5349,3117279000,2983.35065,12.4269,230.057129,338.745743,1725.431429,1129.560019,798.7195489,652.1517808,505.1545972,426.9335571,345.0862858,298.85349,244.0128528,211.3213294,172.5431429,149.426745,133.6513438,122.0064264,105.6606647,94.50577151,77.16363932,66.8256719,54.56293262,2957.10386,166.88468,-203.027227
2022-11-02/10:30:00,1,2974.3301,2981.3336,2964.8737,2981.3336,4385156900,2973.10365,16.4599,237.461728,336.049662,1721.273757,1126.838183,796.7949205,650.5803283,503.9373554,425.9048,344.2547513,298.13336,243.4248691,210.8121206,172.1273757,149.06668,133.3292919,121.7124346,105.4060603,94.27804641,76.97770255,66.66464593,54.43145547,2956.784515,160.575201,-203.027227
2022-11-02/10:00:00,1,2960.6465,2977.0447,2954.9478,2973.8995,8287964700,2965.99625,22.0969,233.863201,345.882905,1716.981677,1124.028357,794.8080737,648.9580747,502.6807631,424.8427857,343.3963354,297.38995,242.8178774,210.2864503,171.6981677,148.694975,132.9968288,121.4089387,105.1432252,94.04295952,76.78575491,66.4984144,54.295728,2956.783459,154.051815,-203.027227
